SKU,date,price_level,demand_qty,supply_qty
SKU-001,2024-01-07,90,485,42
SKU-001,2024-01-07,95,424,77
SKU-001,2024-01-07,100,314,126
SKU-001,2024-01-07,105,247,182
SKU-001,2024-01-07,110,177,268
SKU-001,2024-01-07,115,122,333
SKU-001,2024-01-07,120,85,445
SKU-001,2024-01-07,125,43,486
SKU-002,2024-01-07,90,472,39
SKU-002,2024-01-07,95,405,83
SKU-002,2024-01-07,100,360,135
SKU-002,2024-01-07,105,275,204
SKU-002,2024-01-07,110,193,273
SKU-002,2024-01-07,115,135,337
SKU-002,2024-01-07,120,82,414
SKU-002,2024-01-07,125,39,519
SKU-003,2024-01-07,90,465,42
SKU-003,2024-01-07,95,393,77
SKU-003,2024-01-07,100,365,131
SKU-003,2024-01-07,105,249,189
SKU-003,2024-01-07,110,187,255
SKU-003,2024-01-07,115,130,324
SKU-003,2024-01-07,120,77,404
SKU-003,2024-01-07,125,37,471
SKU-004,2024-01-07,90,495,38
SKU-004,2024-01-07,95,452,82
SKU-004,2024-01-07,100,360,126
SKU-004,2024-01-07,105,261,180
SKU-004,2024-01-07,110,191,256
SKU-004,2024-01-07,115,129,348
SKU-004,2024-01-07,120,75,436
SKU-004,2024-01-07,125,41,476
SKU-005,2024-01-07,90,523,40
SKU-005,2024-01-07,95,435,74
SKU-005,2024-01-07,100,319,129
SKU-005,2024-01-07,105,276,181
SKU-005,2024-01-07,110,197,266
SKU-005,2024-01-07,115,139,336
SKU-005,2024-01-07,120,85,447
SKU-005,2024-01-07,125,42,519
SKU-006,2024-01-07,90,495,42
SKU-006,2024-01-07,95,412,76
SKU-006,2024-01-07,100,325,136
SKU-006,2024-01-07,105,251,180
SKU-006,2024-01-07,110,175,260
SKU-006,2024-01-07,115,129,360
SKU-006,2024-01-07,120,86,397
SKU-006,2024-01-07,125,42,536
SKU-007,2024-01-07,90,478,40
SKU-007,2024-01-07,95,397,77
SKU-007,2024-01-07,100,351,134
SKU-007,2024-01-07,105,259,197
SKU-007,2024-01-07,110,184,274
SKU-007,2024-01-07,115,136,326
SKU-007,2024-01-07,120,76,422
SKU-007,2024-01-07,125,40,499
SKU-008,2024-01-07,90,463,42
SKU-008,2024-01-07,95,404,75
SKU-008,2024-01-07,100,317,122
SKU-008,2024-01-07,105,272,189
SKU-008,2024-01-07,110,177,276
SKU-008,2024-01-07,115,130,348
SKU-008,2024-01-07,120,78,393
SKU-008,2024-01-07,125,37,491
SKU-009,2024-01-07,90,496,41
SKU-009,2024-01-07,95,442,75
SKU-009,2024-01-07,100,354,123
SKU-009,2024-01-07,105,275,183
SKU-009,2024-01-07,110,179,275
SKU-009,2024-01-07,115,133,367
SKU-009,2024-01-07,120,80,397
SKU-009,2024-01-07,125,39,492
SKU-010,2024-01-07,90,505,42
SKU-010,2024-01-07,95,425,77
SKU-010,2024-01-07,100,329,122
SKU-010,2024-01-07,105,244,178
SKU-010,2024-01-07,110,195,260
SKU-010,2024-01-07,115,136,332
SKU-010,2024-01-07,120,84,436
SKU-010,2024-01-07,125,39,474
SKU-001,2024-01-14,90,532,43
SKU-001,2024-01-14,95,389,79
SKU-001,2024-01-14,100,316,139
SKU-001,2024-01-14,105,246,179
SKU-001,2024-01-14,110,182,265
SKU-001,2024-01-14,115,122,336
SKU-001,2024-01-14,120,76,412
SKU-001,2024-01-14,125,41,499
SKU-002,2024-01-14,90,538,41
SKU-002,2024-01-14,95,434,79
SKU-002,2024-01-14,100,365,134
SKU-002,2024-01-14,105,268,196
SKU-002,2024-01-14,110,198,281
SKU-002,2024-01-14,115,133,356
SKU-002,2024-01-14,120,77,442
SKU-002,2024-01-14,125,37,466
SKU-003,2024-01-14,90,526,39
SKU-003,2024-01-14,95,392,83
SKU-003,2024-01-14,100,366,129
SKU-003,2024-01-14,105,277,189
SKU-003,2024-01-14,110,192,278
SKU-003,2024-01-14,115,138,314
SKU-003,2024-01-14,120,84,408
SKU-003,2024-01-14,125,38,486
SKU-004,2024-01-14,90,497,39
SKU-004,2024-01-14,95,391,85
SKU-004,2024-01-14,100,357,128
SKU-004,2024-01-14,105,247,202
SKU-004,2024-01-14,110,180,245
SKU-004,2024-01-14,115,134,327
SKU-004,2024-01-14,120,75,431
SKU-004,2024-01-14,125,38,501
SKU-005,2024-01-14,90,508,42
SKU-005,2024-01-14,95,422,81
SKU-005,2024-01-14,100,365,138
SKU-005,2024-01-14,105,272,186
SKU-005,2024-01-14,110,183,261
SKU-005,2024-01-14,115,134,317
SKU-005,2024-01-14,120,84,416
SKU-005,2024-01-14,125,40,512
SKU-006,2024-01-14,90,489,39
SKU-006,2024-01-14,95,419,84
SKU-006,2024-01-14,100,320,129
SKU-006,2024-01-14,105,270,198
SKU-006,2024-01-14,110,188,245
SKU-006,2024-01-14,115,127,322
SKU-006,2024-01-14,120,77,420
SKU-006,2024-01-14,125,39,469
SKU-007,2024-01-14,90,521,42
SKU-007,2024-01-14,95,396,84
SKU-007,2024-01-14,100,330,135
SKU-007,2024-01-14,105,269,202
SKU-007,2024-01-14,110,186,256
