SKU,date,price_level,demand_qty,supply_qty
SKU-001,2024-01-07,90,512,39
SKU-001,2024-01-07,95,391,75
SKU-001,2024-01-07,100,365,121
SKU-001,2024-01-07,105,272,184
SKU-001,2024-01-07,110,176,241
SKU-001,2024-01-07,115,133,329
SKU-001,2024-01-07,120,79,417
SKU-001,2024-01-07,125,38,516
SKU-002,2024-01-07,90,471,43
SKU-002,2024-01-07,95,420,75
SKU-002,2024-01-07,100,355,129
SKU-002,2024-01-07,105,248,186
SKU-002,2024-01-07,110,176,259
SKU-002,2024-01-07,115,139,344
SKU-002,2024-01-07,120,86,395
SKU-002,2024-01-07,125,39,501
SKU-003,2024-01-07,90,470,42
SKU-003,2024-01-07,95,387,85
SKU-003,2024-01-07,100,315,139
SKU-003,2024-01-07,105,257,185
SKU-003,2024-01-07,110,194,273
SKU-003,2024-01-07,115,134,355
SKU-003,2024-01-07,120,78,452
SKU-003,2024-01-07,125,39,511
SKU-004,2024-01-07,90,492,38
SKU-004,2024-01-07,95,397,80
SKU-004,2024-01-07,100,362,124
SKU-004,2024-01-07,105,265,193
SKU-004,2024-01-07,110,204,255
SKU-004,2024-01-07,115,139,365
SKU-004,2024-01-07,120,78,427
SKU-004,2024-01-07,125,41,527
SKU-005,2024-01-07,90,532,37
SKU-005,2024-01-07,95,416,83
SKU-005,2024-01-07,100,343,130
SKU-005,2024-01-07,105,245,175
SKU-005,2024-01-07,110,192,273
SKU-005,2024-01-07,115,138,342
SKU-005,2024-01-07,120,85,424
SKU-005,2024-01-07,125,41,471
SKU-006,2024-01-07,90,493,41
SKU-006,2024-01-07,95,406,76
SKU-006,2024-01-07,100,323,120
SKU-006,2024-01-07,105,272,185
SKU-006,2024-01-07,110,183,254
SKU-006,2024-01-07,115,132,331
SKU-006,2024-01-07,120,80,437
SKU-006,2024-01-07,125,40,536
SKU-007,2024-01-07,90,473,40
SKU-007,2024-01-07,95,392,76
SKU-007,2024-01-07,100,334,138
SKU-007,2024-01-07,105,278,182
SKU-007,2024-01-07,110,189,244
SKU-007,2024-01-07,115,136,361
SKU-007,2024-01-07,120,74,449
SKU-007,2024-01-07,125,38,479
SKU-008,2024-01-07,90,495,38
SKU-008,2024-01-07,95,450,82
SKU-008,2024-01-07,100,318,137
SKU-008,2024-01-07,105,270,180
SKU-008,2024-01-07,110,193,271
SKU-008,2024-01-07,115,132,360
SKU-008,2024-01-07,120,79,450
SKU-008,2024-01-07,125,39,527
SKU-009,2024-01-07,90,537,37
SKU-009,2024-01-07,95,445,75
SKU-009,2024-01-07,100,347,139
SKU-009,2024-01-07,105,279,186
SKU-009,2024-01-07,110,193,275
SKU-009,2024-01-07,115,130,337
SKU-009,2024-01-07,120,83,413
SKU-009,2024-01-07,125,39,537
SKU-010,2024-01-07,90,539,43
SKU-010,2024-01-07,95,391,84
SKU-010,2024-01-07,100,345,132
SKU-010,2024-01-07,105,271,181
SKU-010,2024-01-07,110,179,266
SKU-010,2024-01-07,115,121,319
SKU-010,2024-01-07,120,77,412
SKU-010,2024-01-07,125,37,524
SKU-001,2024-01-14,90,526,37
SKU-001,2024-01-14,95,438,79
SKU-001,2024-01-14,100,319,127
SKU-001,2024-01-14,105,253,182
SKU-001,2024-01-14,110,195,280
SKU-001,2024-01-14,115,127,367
SKU-001,2024-01-14,120,83,433
SKU-001,2024-01-14,125,38,472
SKU-002,2024-01-14,90,534,43
SKU-002,2024-01-14,95,437,82
SKU-002,2024-01-14,100,333,123
SKU-002,2024-01-14,105,242,189
SKU-002,2024-01-14,110,196,263
SKU-002,2024-01-14,115,139,347
SKU-002,2024-01-14,120,80,403
SKU-002,2024-01-14,125,38,489
SKU-003,2024-01-14,90,517,39
SKU-003,2024-01-14,95,393,85
SKU-003,2024-01-14,100,334,133
SKU-003,2024-01-14,105,241,179
SKU-003,2024-01-14,110,182,280
SKU-003,2024-01-14,115,125,315
SKU-003,2024-01-14,120,80,398
SKU-003,2024-01-14,125,37,493
SKU-004,2024-01-14,90,485,38
SKU-004,2024-01-14,95,447,82
SKU-004,2024-01-14,100,363,122
SKU-004,2024-01-14,105,247,185
SKU-004,2024-01-14,110,199,266
SKU-004,2024-01-14,115,135,317
SKU-004,2024-01-14,120,76,439
SKU-004,2024-01-14,125,42,487
SKU-005,2024-01-14,90,465,43
SKU-005,2024-01-14,95,398,79
SKU-005,2024-01-14,100,365,128
SKU-005,2024-01-14,105,264,184
SKU-005,2024-01-14,110,200,251
SKU-005,2024-01-14,115,131,358
SKU-005,2024-01-14,120,74,396
SKU-005,2024-01-14,125,39,510
SKU-006,2024-01-14,90,521,40
SKU-006,2024-01-14,95,388,74
SKU-006,2024-01-14,100,339,138
SKU-006,2024-01-14,105,266,177
SKU-006,2024-01-14,110,195,254
SKU-006,2024-01-14,115,133,314
SKU-006,2024-01-14,120,82,439
SKU-006,2024-01-14,125,38,470
SKU-007,2024-01-14,90,505,42
SKU-007,2024-01-14,95,411,76
SKU-007,2024-01-14,100,316,134
SKU-007,2024-01-14,105,260,190
SKU-007,2024-01-14,110,199,259
SKU-007,2024-01-14,115,123,327
SKU-007,2024-01-14,120,80,438
SKU-007,2024-01-14,125,37,477
SKU-008,2024-01-14,90,518,38
SKU-008,2024-01-14,95,389,86
SKU-008,2024-01-14,100,332,131
SKU-008,2024-01-14,105,268,177
SKU-008,2024-01-14,110,186,247
SKU-008,2024-01-14,115,130,356
SKU-008,2024-01-14,120,86,453
SKU-008,2024-01-14,125,42,502
SKU-009,2024-01-14,90,505,40
SKU-009,2024-01-14,95,449,78
SKU-009,2024-01-14,100,323,131
SKU-009,2024-01-14,105,280,183
SKU-009,2024-01-14,110,175,258
SKU-009,2024-01-14,115,120,313
SKU-009,2024-01-14,120,79,397
SKU-009,2024-01-14,125,42,524
SKU-010,2024-01-14,90,534,39
SKU-010,2024-01-14,95,409,81
SKU-010,2024-01-14,100,349,137
SKU-010,2024-01-14,105,274,187
SKU-010,2024-01-14,110,179,243
SKU-010,2024-01-14,115,134,354
SKU-010,2024-01-14,120,80,401
SKU-010,2024-01-14,125,38,502
SKU-001,2024-01-21,90,530,39
SKU-001,2024-01-21,95,431,77
SKU-001,2024-01-21,100,334,140
SKU-001,2024-01-21,105,240,176
SKU-001,2024-01-21,110,202,249
SKU-001,2024-01-21,115,138,336
SKU-001,2024-01-21,120,78,418
SKU-001,2024-01-21,125,39,475
SKU-002,2024-01-21,90,477,40
SKU-002,2024-01-21,95,451,80
SKU-002,2024-01-21,100,366,132
SKU-002,2024-01-21,105,268,188
SKU-002,2024-01-21,110,201,246
SKU-002,2024-01-21,115,128,329
SKU-002,2024-01-21,120,75,393
SKU-002,2024-01-21,125,41,529
SKU-003,2024-01-21,90,485,37
SKU-003,2024-01-21,95,418,76
SKU-003,2024-01-21,100,340,124
SKU-003,2024-01-21,105,241,183
SKU-003,2024-01-21,110,194,265
SKU-003,2024-01-21,115,131,341
SKU-003,2024-01-21,120,74,410
SKU-003,2024-01-21,125,39,503
SKU-004,2024-01-21,90,530,40
SKU-004,2024-01-21,95,393,79
SKU-004,2024-01-21,100,327,132
SKU-004,2024-01-21,105,270,184
SKU-004,2024-01-21,110,205,267
SKU-004,2024-01-21,115,134,314
SKU-004,2024-01-21,120,75,416
SKU-004,2024-01-21,125,42,499
SKU-005,2024-01-21,90,494,40
SKU-005,2024-01-21,95,453,75
SKU-005,2024-01-21,100,356,139
SKU-005,2024-01-21,105,256,187
SKU-005,2024-01-21,110,193,250
SKU-005,2024-01-21,115,138,338
SKU-005,2024-01-21,120,85,413
SKU-005,2024-01-21,125,43,534
SKU-006,2024-01-21,90,506,41
SKU-006,2024-01-21,95,440,76
SKU-006,2024-01-21,100,352,131
SKU-006,2024-01-21,105,241,202
SKU-006,2024-01-21,110,195,270
SKU-006,2024-01-21,115,133,348
SKU-006,2024-01-21,120,75,446
SKU-006,2024-01-21,125,41,491
SKU-007,2024-01-21,90,522,37
SKU-007,2024-01-21,95,442,85
SKU-007,2024-01-21,100,346,125
SKU-007,2024-01-21,105,274,181
SKU-007,2024-01-21,110,191,249
SKU-007,2024-01-21,115,124,317
SKU-007,2024-01-21,120,79,439
SKU-007,2024-01-21,125,42,510
SKU-008,2024-01-21,90,493,38
SKU-008,2024-01-21,95,397,78
SKU-008,2024-01-21,100,333,127
SKU-008,2024-01-21,105,256,175
SKU-008,2024-01-21,110,197,243
SKU-008,2024-01-21,115,122,322
SKU-008,2024-01-21,120,85,441
SKU-008,2024-01-21,125,37,477
SKU-009,2024-01-21,90,470,42
SKU-009,2024-01-21,95,407,75
SKU-009,2024-01-21,100,358,137
SKU-009,2024-01-21,105,273,182
SKU-009,2024-01-21,110,194,255
SKU-009,2024-01-21,115,133,322
SKU-009,2024-01-21,120,86,446
SKU-009,2024-01-21,125,38,500
SKU-010,2024-01-21,90,524,38
SKU-010,2024-01-21,95,425,84
SKU-010,2024-01-21,100,367,125
SKU-010,2024-01-21,105,266,203
SKU-010,2024-01-21,110,201,277
SKU-010,2024-01-21,115,122,336
SKU-010,2024-01-21,120,77,432
SKU-010,2024-01-21,125,43,511
SKU-001,2024-01-28,90,475,42
SKU-001,2024-01-28,95,438,77
SKU-001,2024-01-28,100,345,130
SKU-001,2024-01-28,105,253,195
SKU-001,2024-01-28,110,204,249
SKU-001,2024-01-28,115,138,345
SKU-001,2024-01-28,120,86,452
SKU-001,2024-01-28,125,42,522
SKU-002,2024-01-28,90,490,37
SKU-002,2024-01-28,95,433,84
SKU-002,2024-01-28,100,344,125
SKU-002,2024-01-28,105,275,177
SKU-002,2024-01-28,110,188,262
SKU-002,2024-01-28,115,123,341
SKU-002,2024-01-28,120,85,395
SKU-002,2024-01-28,125,39,499
SKU-003,2024-01-28,90,535,38
SKU-003,2024-01-28,95,414,80
SKU-003,2024-01-28,100,335,140
SKU-003,2024-01-28,105,279,176
SKU-003,2024-01-28,110,202,250
SKU-003,2024-01-28,115,130,333
SKU-003,2024-01-28,120,79,435
SKU-003,2024-01-28,125,42,524
SKU-004,2024-01-28,90,505,43
SKU-004,2024-01-28,95,434,80
SKU-004,2024-01-28,100,317,137
SKU-004,2024-01-28,105,256,205
SKU-004,2024-01-28,110,181,268
SKU-004,2024-01-28,115,134,355
SKU-004,2024-01-28,120,77,386
SKU-004,2024-01-28,125,43,515
SKU-005,2024-01-28,90,467,39
SKU-005,2024-01-28,95,448,85
SKU-005,2024-01-28,100,326,130
SKU-005,2024-01-28,105,245,202
SKU-005,2024-01-28,110,185,241
SKU-005,2024-01-28,115,127,350
SKU-005,2024-01-28,120,78,415
SKU-005,2024-01-28,125,41,527
SKU-006,2024-01-28,90,505,40
SKU-006,2024-01-28,95,405,78
SKU-006,2024-01-28,100,315,124
SKU-006,2024-01-28,105,239,190
SKU-006,2024-01-28,110,185,263
SKU-006,2024-01-28,115,127,326
SKU-006,2024-01-28,120,82,399
SKU-006,2024-01-28,125,43,481
SKU-007,2024-01-28,90,514,41
SKU-007,2024-01-28,95,448,86
SKU-007,2024-01-28,100,364,140
