SKU,vendor,order_date,expected_delivery,actual_delivery,qty_ordered,qty_received,fill_rate,disruption_flag
SKU-001,VND-C,2024-01-07,2024-01-14,2024-01-13,224,212,0.946,false
SKU-002,VND-C,2024-01-07,2024-01-14,2024-01-12,178,168,0.944,false
SKU-003,VND-B,2024-01-07,2024-01-14,2024-01-12,221,204,0.923,false
SKU-004,VND-C,2024-01-07,2024-01-14,2024-01-14,215,208,0.967,false
SKU-005,VND-C,2024-01-07,2024-01-14,2024-01-13,174,166,0.954,false
SKU-006,VND-A,2024-01-07,2024-01-14,2024-01-13,193,188,0.974,false
SKU-007,VND-B,2024-01-07,2024-01-14,2024-01-12,223,211,0.946,false
SKU-008,VND-C,2024-01-07,2024-01-14,2024-01-14,198,183,0.924,false
SKU-009,VND-A,2024-01-07,2024-01-14,2024-01-14,175,170,0.971,false
SKU-010,VND-A,2024-01-07,2024-01-14,2024-01-13,222,221,0.995,false
SKU-001,VND-B,2024-01-14,2024-01-21,2024-01-19,187,183,0.979,false
SKU-002,VND-C,2024-01-14,2024-01-21,2024-01-19,227,222,0.978,false
SKU-003,VND-B,2024-01-14,2024-01-21,2024-01-22,187,180,0.963,false
SKU-004,VND-C,2024-01-14,2024-01-21,2024-01-22,207,197,0.952,false
SKU-005,VND-C,2024-01-14,2024-01-21,2024-01-20,225,215,0.956,false
SKU-006,VND-A,2024-01-14,2024-01-21,2024-01-22,189,180,0.952,false
SKU-007,VND-B,2024-01-14,2024-01-21,2024-01-20,221,214,0.968,false
SKU-008,VND-A,2024-01-14,2024-01-21,2024-01-21,210,199,0.948,false
SKU-009,VND-C,2024-01-14,2024-01-21,2024-01-19,212,204,0.962,false
SKU-010,VND-A,2024-01-14,2024-01-21,2024-01-19,183,171,0.934,false
SKU-001,VND-B,2024-01-21,2024-01-28,2024-01-29,226,214,0.947,false
SKU-002,VND-C,2024-01-21,2024-01-28,2024-01-28,183,173,0.945,false
SKU-003,VND-C,2024-01-21,2024-01-28,2024-01-28,229,218,0.952,false
SKU-004,VND-C,2024-01-21,2024-01-28,2024-01-26,223,219,0.982,false
SKU-005,VND-A,2024-01-21,2024-01-28,2024-01-27,213,198,0.930,false
SKU-006,VND-B,2024-01-21,2024-01-28,2024-01-28,202,191,0.946,false
SKU-007,VND-A,2024-01-21,2024-01-28,2024-01-27,227,209,0.921,false
SKU-008,VND-C,2024-01-21,2024-01-28,2024-01-29,174,164,0.943,false
SKU-009,VND-C,2024-01-21,2024-01-28,2024-01-29,189,181,0.958,false
SKU-010,VND-A,2024-01-21,2024-01-28,2024-01-27,210,209,0.995,false
SKU-001,VND-B,2024-01-28,2024-02-04,2024-02-04,190,176,0.926,false
SKU-002,VND-A,2024-01-28,2024-02-04,2024-02-05,223,207,0.928,false
SKU-003,VND-C,2024-01-28,2024-02-04,2024-02-04,215,207,0.963,false
SKU-004,VND-A,2024-01-28,2024-02-04,2024-02-03,180,166,0.922,false
SKU-005,VND-C,2024-01-28,2024-02-04,2024-02-02,229,212,0.926,false
SKU-006,VND-A,2024-01-28,2024-02-04,2024-02-03,198,185,0.934,false
SKU-007,VND-B,2024-01-28,2024-02-04,2024-02-03,218,202,0.927,false
SKU-008,VND-A,2024-01-28,2024-02-04,2024-02-04,217,210,0.968,false
SKU-009,VND-C,2024-01-28,2024-02-04,2024-02-02,204,203,0.995,false
SKU-010,VND-A,2024-01-28,2024-02-04,2024-02-03,204,199,0.975,false
