SKU,date,price_level,demand_qty,supply_qty
SKU-001,2024-01-07,90,78,15
SKU-001,2024-01-07,95,60,25
SKU-001,2024-01-07,100,45,32
SKU-001,2024-01-07,105,31,46
SKU-001,2024-01-07,110,20,5066
SKU-001,2024-01-07,115,12,57
SKU-001,2024-01-07,120,7,70
SKU-001,2024-01-07,125,3,85
SKU-002,2024-01-07,90,80,14
SKU-002,2024-01-07,95,62,26
SKU-002,2024-01-07,100,47,38
SKU-002,2024-01-07,105,31,42
SKU-002,2024-01-07,110,20,4870
SKU-002,2024-01-07,115,12,55
SKU-002,2024-01-07,120,7,68
SKU-002,2024-01-07,125,3,88
SKU-003,2024-01-07,90,84,14
SKU-003,2024-01-07,95,58,23
SKU-003,2024-01-07,100,44,37
SKU-003,2024-01-07,105,31,46
SKU-003,2024-01-07,110,21,5107
SKU-003,2024-01-07,115,12,63
SKU-003,2024-01-07,120,7,64
SKU-003,2024-01-07,125,3,98
SKU-004,2024-01-07,90,84,14
SKU-004,2024-01-07,95,61,23
SKU-004,2024-01-07,100,45,37
SKU-004,2024-01-07,105,31,41
SKU-004,2024-01-07,110,19,5062
SKU-004,2024-01-07,115,12,65
SKU-004,2024-01-07,120,7,67
SKU-004,2024-01-07,125,3,95
SKU-005,2024-01-07,90,84,14
SKU-005,2024-01-07,95,58,24
SKU-005,2024-01-07,100,46,37
SKU-005,2024-01-07,105,29,48
SKU-005,2024-01-07,110,21,4965
SKU-005,2024-01-07,115,12,55
SKU-005,2024-01-07,120,7,64
SKU-005,2024-01-07,125,3,94
SKU-006,2024-01-07,90,80,16
SKU-006,2024-01-07,95,62,25
SKU-006,2024-01-07,100,45,37
SKU-006,2024-01-07,105,29,42
SKU-006,2024-01-07,110,20,4887
SKU-006,2024-01-07,115,13,59
SKU-006,2024-01-07,120,7,73
SKU-006,2024-01-07,125,3,84
SKU-007,2024-01-07,90,84,15
SKU-007,2024-01-07,95,61,23
SKU-007,2024-01-07,100,46,38
SKU-007,2024-01-07,105,31,43
SKU-007,2024-01-07,110,19,5121
SKU-007,2024-01-07,115,13,65
SKU-007,2024-01-07,120,7,65
SKU-007,2024-01-07,125,3,93
SKU-008,2024-01-07,90,82,14
SKU-008,2024-01-07,95,62,25
SKU-008,2024-01-07,100,44,36
SKU-008,2024-01-07,105,30,43
SKU-008,2024-01-07,110,21,4966
SKU-008,2024-01-07,115,12,62
SKU-008,2024-01-07,120,7,68
SKU-008,2024-01-07,125,3,84
SKU-009,2024-01-07,90,82,16
SKU-009,2024-01-07,95,57,23
SKU-009,2024-01-07,100,45,37
SKU-009,2024-01-07,105,30,45
SKU-009,2024-01-07,110,19,5102
SKU-009,2024-01-07,115,12,55
SKU-009,2024-01-07,120,7,71
SKU-009,2024-01-07,125,3,91
SKU-010,2024-01-07,90,78,14
SKU-010,2024-01-07,95,62,27
SKU-010,2024-01-07,100,45,35
SKU-010,2024-01-07,105,31,44
SKU-010,2024-01-07,110,21,5025
SKU-010,2024-01-07,115,12,60
SKU-010,2024-01-07,120,7,68
SKU-010,2024-01-07,125,3,91
SKU-001,2024-01-14,90,76,14
SKU-001,2024-01-14,95,60,26
SKU-001,2024-01-14,100,43,36
SKU-001,2024-01-14,105,30,42
SKU-001,2024-01-14,110,21,5126
SKU-001,2024-01-14,115,12,57
SKU-001,2024-01-14,120,7,63
SKU-001,2024-01-14,125,3,87
SKU-002,2024-01-14,90,78,16
SKU-002,2024-01-14,95,57,27
SKU-002,2024-01-14,100,43,32
SKU-002,2024-01-14,105,30,47
SKU-002,2024-01-14,110,21,4922
SKU-002,2024-01-14,115,12,58
SKU-002,2024-01-14,120,7,64
SKU-002,2024-01-14,125,3,86
SKU-003,2024-01-14,90,76,14
SKU-003,2024-01-14,95,62,26
SKU-003,2024-01-14,100,45,37
SKU-003,2024-01-14,105,30,48
SKU-003,2024-01-14,110,20,5001
SKU-003,2024-01-14,115,12,60
SKU-003,2024-01-14,120,7,65
SKU-003,2024-01-14,125,3,89
SKU-004,2024-01-14,90,82,14
SKU-004,2024-01-14,95,62,24
SKU-004,2024-01-14,100,44,37
SKU-004,2024-01-14,105,29,41
SKU-004,2024-01-14,110,20,4863
SKU-004,2024-01-14,115,12,60
SKU-004,2024-01-14,120,7,74
SKU-004,2024-01-14,125,3,86
SKU-005,2024-01-14,90,80,16
SKU-005,2024-01-14,95,60,24
SKU-005,2024-01-14,100,44,38
SKU-005,2024-01-14,105,29,48
SKU-005,2024-01-14,110,21,4937
SKU-005,2024-01-14,115,12,55
SKU-005,2024-01-14,120,7,71
SKU-005,2024-01-14,125,3,88
SKU-006,2024-01-14,90,83,14
SKU-006,2024-01-14,95,61,25
SKU-006,2024-01-14,100,47,34
SKU-006,2024-01-14,105,31,49
SKU-006,2024-01-14,110,20,4969
SKU-006,2024-01-14,115,11,59
SKU-006,2024-01-14,120,7,76
SKU-006,2024-01-14,125,3,99
SKU-007,2024-01-14,90,81,14
SKU-007,2024-01-14,95,58,24
SKU-007,2024-01-14,100,47,35
SKU-007,2024-01-14,105,30,43
SKU-007,2024-01-14,110,21,4931
SKU-007,2024-01-14,115,12,63
SKU-007,2024-01-14,120,7,64
SKU-007,2024-01-14,125,3,85
SKU-008,2024-01-14,90,81,16
SKU-008,2024-01-14,95,62,27
SKU-008,2024-01-14,100,44,37
SKU-008,2024-01-14,105,31,43
SKU-008,2024-01-14,110,20,4993
SKU-008,2024-01-14,115,12,54
SKU-008,2024-01-14,120,7,68
SKU-008,2024-01-14,125,3,97
SKU-009,2024-01-14,90,80,16
SKU-009,2024-01-14,95,60,24
SKU-009,2024-01-14,100,47,32
SKU-009,2024-01-14,105,31,46
SKU-009,2024-01-14,110,19,4949
SKU-009,2024-01-14,115,12,58
SKU-009,2024-01-14,120,7,72
SKU-009,2024-01-14,125,3,82
SKU-010,2024-01-14,90,79,15
SKU-010,2024-01-14,95,61,27
SKU-010,2024-01-14,100,46,34
SKU-010,2024-01-14,105,29,44
SKU-010,2024-01-14,110,20,5003
SKU-010,2024-01-14,115,12,58
SKU-010,2024-01-14,120,7,70
SKU-010,2024-01-14,125,3,87
SKU-001,2024-01-21,90,81,16
SKU-001,2024-01-21,95,61,23
SKU-001,2024-01-21,100,45,33
SKU-001,2024-01-21,105,29,42
SKU-001,2024-01-21,110,21,5113
SKU-001,2024-01-21,115,12,63
SKU-001,2024-01-21,120,7,75
SKU-001,2024-01-21,125,3,95
SKU-002,2024-01-21,90,78,14
SKU-002,2024-01-21,95,59,26
SKU-002,2024-01-21,100,47,33
SKU-002,2024-01-21,105,30,47
SKU-002,2024-01-21,110,20,5018
SKU-002,2024-01-21,115,12,65
SKU-002,2024-01-21,120,7,63
SKU-002,2024-01-21,125,3,84
SKU-003,2024-01-21,90,83,16
SKU-003,2024-01-21,95,59,26
SKU-003,2024-01-21,100,46,34
SKU-003,2024-01-21,105,29,48
SKU-003,2024-01-21,110,20,4898
SKU-003,2024-01-21,115,12,56
SKU-003,2024-01-21,120,7,76
SKU-003,2024-01-21,125,3,83
SKU-004,2024-01-21,90,82,16
SKU-004,2024-01-21,95,62,26
SKU-004,2024-01-21,100,44,32
SKU-004,2024-01-21,105,29,43
SKU-004,2024-01-21,110,20,4893
SKU-004,2024-01-21,115,12,56
SKU-004,2024-01-21,120,7,69
SKU-004,2024-01-21,125,3,82
SKU-005,2024-01-21,90,81,16
SKU-005,2024-01-21,95,58,23
SKU-005,2024-01-21,100,46,32
SKU-005,2024-01-21,105,31,41
SKU-005,2024-01-21,110,21,5076
SKU-005,2024-01-21,115,12,59
SKU-005,2024-01-21,120,7,70
SKU-005,2024-01-21,125,3,99
SKU-006,2024-01-21,90,79,14
SKU-006,2024-01-21,95,62,27
SKU-006,2024-01-21,100,43,32
SKU-006,2024-01-21,105,31,43
SKU-006,2024-01-21,110,20,5000
SKU-006,2024-01-21,115,12,60
SKU-006,2024-01-21,120,7,64
SKU-006,2024-01-21,125,3,87
SKU-007,2024-01-21,90,79,15
SKU-007,2024-01-21,95,63,26
SKU-007,2024-01-21,100,44,32
SKU-007,2024-01-21,105,31,43
SKU-007,2024-01-21,110,20,5005
SKU-007,2024-01-21,115,12,62
SKU-007,2024-01-21,120,7,66
SKU-007,2024-01-21,125,3,88
SKU-008,2024-01-21,90,78,14
SKU-008,2024-01-21,95,58,25
SKU-008,2024-01-21,100,47,34
SKU-008,2024-01-21,105,30,47
SKU-008,2024-01-21,110,20,5092
SKU-008,2024-01-21,115,12,55
SKU-008,2024-01-21,120,7,70
SKU-008,2024-01-21,125,3,92
SKU-009,2024-01-21,90,82,14
SKU-009,2024-01-21,95,61,24
SKU-009,2024-01-21,100,47,34
SKU-009,2024-01-21,105,29,47
SKU-009,2024-01-21,110,20,4909
SKU-009,2024-01-21,115,12,60
SKU-009,2024-01-21,120,7,69
SKU-009,2024-01-21,125,3,90
SKU-010,2024-01-21,90,80,15
SKU-010,2024-01-21,95,62,26
SKU-010,2024-01-21,100,44,35
SKU-010,2024-01-21,105,31,45
SKU-010,2024-01-21,110,19,5025
SKU-010,2024-01-21,115,12,55
SKU-010,2024-01-21,120,7,63
SKU-010,2024-01-21,125,3,83
SKU-001,2024-01-28,90,78,16
SKU-001,2024-01-28,95,59,23
SKU-001,2024-01-28,100,45,38
SKU-001,2024-01-28,105,30,44
SKU-001,2024-01-28,110,21,5112
SKU-001,2024-01-28,115,12,66
SKU-001,2024-01-28,120,7,66
SKU-001,2024-01-28,125,3,83
SKU-002,2024-01-28,90,81,14
SKU-002,2024-01-28,95,61,25
SKU-002,2024-01-28,100,45,37
SKU-002,2024-01-28,105,31,42
SKU-002,2024-01-28,110,20,5089
SKU-002,2024-01-28,115,12,56
SKU-002,2024-01-28,120,7,68
SKU-002,2024-01-28,125,3,85
SKU-003,2024-01-28,90,84,14
SKU-003,2024-01-28,95,60,26
SKU-003,2024-01-28,100,46,38
SKU-003,2024-01-28,105,29,41
SKU-003,2024-01-28,110,21,4993
SKU-003,2024-01-28,115,11,65
SKU-003,2024-01-28,120,7,77
SKU-003,2024-01-28,125,3,82
SKU-004,2024-01-28,90,82,15
SKU-004,2024-01-28,95,62,24
SKU-004,2024-01-28,100,44,34
SKU-004,2024-01-28,105,29,41
SKU-004,2024-01-28,110,19,5013
SKU-004,2024-01-28,115,12,58
SKU-004,2024-01-28,120,7,72
SKU-004,2024-01-28,125,3,83
SKU-005,2024-01-28,90,76,16
SKU-005,2024-01-28,95,62,23
SKU-005,2024-01-28,100,44,35
SKU-005,2024-01-28,105,30,41
SKU-005,2024-01-28,110,20,4997
SKU-005,2024-01-28,115,12,56
SKU-005,2024-01-28,120,7,64
SKU-005,2024-01-28,125,3,99
SKU-006,2024-01-28,90,81,16
SKU-006,2024-01-28,95,58,24
SKU-006,2024-01-28,100,47,38
SKU-006,2024-01-28,105,31,47
SKU-006,2024-01-28,110,21,4887
SKU-006,2024-01-28,115,12,56
SKU-006,2024-01-28,120,7,75
SKU-006,2024-01-28,125,3,84
SKU-007,2024-01-28,90,77,16
SKU-007,2024-01-28,95,61,27
SKU-007,2024-01-28,100,44,34
SKU-007,2024-01-28,105,29,49
SKU-007,2024-01-28,110,19,5037
SKU-007,2024-01-28,115,12,65
SKU-007,2024-01-28,120,7,69
SKU-007,2024-01-28,125,3,96
SKU-008,2024-01-28,90,80,15
SKU-008,2024-01-28,95,62,24
SKU-008,2024-01-28,100,47,36
SKU-008,2024-01-28,105,31,43
SKU-008,2024-01-28,110,20,5117
SKU-008,2024-01-28,115,11,60
SKU-008,2024-01-28,120,7,68
SKU-008,2024-01-28,125,3,93
SKU-009,2024-01-28,90,82,15
SKU-009,2024-01-28,95,60,25
SKU-009,2024-01-28,100,44,33
SKU-009,2024-01-28,105,31,44
SKU-009,2024-01-28,110,19,5047
SKU-009,2024-01-28,115,11,64
SKU-009,2024-01-28,120,7,69
SKU-009,2024-01-28,125,3,88
SKU-010,2024-01-28,90,80,15
SKU-010,2024-01-28,95,57,26
SKU-010,2024-01-28,100,45,35
SKU-010,2024-01-28,105,29,44
SKU-010,2024-01-28,110,21,4886
SKU-010,2024-01-28,115,12,56
SKU-010,2024-01-28,120,7,77
SKU-010,2024-01-28,125,3,90
