SKU,vendor,order_date,expected_delivery,actual_delivery,qty_ordered,qty_received,fill_rate,disruption_flag
SKU-001,VND-C,2024-01-07,2024-01-14,2024-01-13,1269,1254,0.988,false
SKU-002,VND-A,2024-01-07,2024-01-14,2024-01-11,1198,1186,0.990,false
SKU-003,VND-A,2024-01-07,2024-01-14,2024-01-11,1020,991,0.972,false
SKU-004,VND-C,2024-01-07,2024-01-14,2024-01-13,1350,1341,0.993,false
SKU-005,VND-C,2024-01-07,2024-01-14,2024-01-11,1021,1015,0.994,false
SKU-006,VND-B,2024-01-07,2024-01-14,2024-01-12,1324,1296,0.979,false
SKU-007,VND-B,2024-01-07,2024-01-14,2024-01-13,1162,1128,0.971,false
SKU-008,VND-A,2024-01-07,2024-01-14,2024-01-13,1265,1230,0.972,false
SKU-009,VND-C,2024-01-07,2024-01-14,2024-01-12,1073,1056,0.984,false
SKU-010,VND-C,2024-01-07,2024-01-14,2024-01-13,1088,1070,0.983,false
SKU-001,VND-B,2024-01-14,2024-01-21,2024-01-18,1303,1296,0.995,false
SKU-002,VND-A,2024-01-14,2024-01-21,2024-01-18,1314,1313,0.999,false
SKU-003,VND-A,2024-01-14,2024-01-21,2024-01-18,1169,1140,0.975,false
SKU-004,VND-B,2024-01-14,2024-01-21,2024-01-20,1156,1133,0.980,false
SKU-005,VND-B,2024-01-14,2024-01-21,2024-01-18,1320,1319,0.999,false
SKU-006,VND-C,2024-01-14,2024-01-21,2024-01-18,1090,1072,0.983,false
SKU-007,VND-B,2024-01-14,2024-01-21,2024-01-19,1069,1051,0.983,false
SKU-008,VND-C,2024-01-14,2024-01-21,2024-01-20,1178,1176,0.998,false
SKU-009,VND-C,2024-01-14,2024-01-21,2024-01-19,1171,1159,0.990,false
SKU-010,VND-A,2024-01-14,2024-01-21,2024-01-18,1310,1300,0.992,false
SKU-001,VND-C,2024-01-21,2024-01-28,2024-01-27,1152,1138,0.988,false
SKU-002,VND-A,2024-01-21,2024-01-28,2024-01-27,1229,1202,0.978,false
SKU-003,VND-A,2024-01-21,2024-01-28,2024-01-25,1068,1060,0.993,false
SKU-004,VND-C,2024-01-21,2024-01-28,2024-01-26,1147,1138,0.992,false
SKU-005,VND-A,2024-01-21,2024-01-28,2024-01-25,1314,1309,0.996,false
SKU-006,VND-A,2024-01-21,2024-01-28,2024-01-27,1328,1325,0.998,false
SKU-007,VND-B,2024-01-21,2024-01-28,2024-01-26,1121,1108,0.988,false
SKU-008,VND-A,2024-01-21,2024-01-28,2024-01-25,1030,1012,0.983,false
SKU-009,VND-C,2024-01-21,2024-01-28,2024-01-27,1283,1253,0.977,false
SKU-010,VND-C,2024-01-21,2024-01-28,2024-01-27,1171,1157,0.988,false
SKU-001,VND-A,2024-01-28,2024-02-04,2024-02-02,1299,1272,0.979,false
SKU-002,VND-A,2024-01-28,2024-02-04,2024-02-03,1170,1160,0.991,false
SKU-003,VND-B,2024-01-28,2024-02-04,2024-02-03,1200,1187,0.989,false
SKU-004,VND-B,2024-01-28,2024-02-04,2024-02-02,1360,1349,0.992,false
SKU-005,VND-C,2024-01-28,2024-02-04,2024-02-03,1129,1121,0.993,false
SKU-006,VND-C,2024-01-28,2024-02-04,2024-02-02,1091,1074,0.984,false
SKU-007,VND-C,2024-01-28,2024-02-04,2024-02-02,1080,1061,0.982,false
SKU-008,VND-C,2024-01-28,2024-02-04,2024-02-02,1127,1103,0.979,false
SKU-009,VND-A,2024-01-28,2024-02-04,2024-02-03,1061,1038,0.978,false
SKU-010,VND-B,2024-01-28,2024-02-04,2024-02-03,1379,1346,0.976,false
